municipio,ano,soy_area_ha,NDVI_mean,NDVI_max,EVI_mean,EVI_max,precip_total,temp_mean,temp_max,srad_mean,etp_total,cod_ibge7,rendimento_kg_ha
Conceicao Do Araguaia,2001,143.1948421569817,0.5408353846153846,0.8991133333333335,0.3814374358974359,0.8217800000000001,1534.010859281392,25.44324942361341,29.42888940396698,17.54355555467864,1212.088903860217,1502707,2611
Floresta Do Araguaia,2001,66.80595440063482,0.5060395604395606,0.7960000000000002,0.3116967032967033,0.5097857142857143,1541.362584912096,25.26258105222888,29.12440753581002,17.191481212108,1170.892931764794,1503044,840
Paragominas,2001,1858.251616619873,0.4470348480700793,0.8283391459074736,0.3304745414727625,0.6682188612099645,1911.42930629846,25.41718368820434,29.97796821198292,17.02494125724665,3069.766670655316,1505502,2692
Redencao,2001,185.1597838012698,0.5438057692307693,0.8433857142857143,0.3774332417582418,0.7533464285714286,1550.250578561208,24.80754048930658,28.81309856902523,17.05855037816159,1195.356805633579,1506138,3055
Santarem,2001,142.8043209838868,0.5063069597069597,0.8043476190476191,0.3592824175824176,0.6257333333333335,1708.730674709451,25.40961658076209,28.57112638278909,16.36001385599191,1765.181417853726,1506807,3000
Belterra,2002,270.0581127358104,0.4452692460317462,0.7917638888888888,0.3056730158730159,0.6222194444444445,1511.647983754252,26.24828042093313,29.00442274959354,16.89072665385075,1398.594570329197,1501451,3000
Conceicao Do Araguaia,2002,116.1110149108882,0.6302714285714285,0.8849076923076923,0.423067032967033,0.6938153846153846,1611.137860667004,25.87500201862112,29.88391363824642,17.73093338260309,1256.136753085863,1502707,2611
Dom Eliseu,2002,52.5125951538086,0.4567571428571429,0.8666,0.3274857142857143,0.69615,1449.685069082713,25.31766569647518,29.69927500951453,17.02024834940259,2550.902690074851,1502939,2400
Paragominas,2002,2515.913075853387,0.4383719069340363,0.8165816711590295,0.3177231346820295,0.6743212938005397,1810.7130069991,25.77639691199569,30.38317221078093,17.12558275834734,3019.150042856371,1505502,2969
Redencao,2002,141.3448252685546,0.5868917142857142,0.7795839999999998,0.3603962857142858,0.5419560000000001,1572.485048385385,25.31788066850716,29.3419967322928,17.49078798231382,1263.389530758598,1506138,3000
Santarem,2002,443.390279850739,0.4267193406593406,0.8295230769230768,0.3010065934065935,0.6754723076923078,1556.738085074297,26.10228111159444,29.32079707114314,16.87374738916381,1991.058007821737,1506807,3000
Ulianopolis,2002,261.3691267605172,0.4077396428571429,0.8143324999999999,0.2888648214285714,0.6512500000000002,1534.941685867166,25.64182640415039,30.01496859747422,17.03287256676637,2272.335592102525,1508126,2950
Belterra,2003,504.4265348304948,0.397586203522505,0.8011027397260275,0.2890568493150685,0.6694438356164385,1524.106269802242,26.24521876475649,29.01652984341277,17.10554808829626,1460.518472677622,1501451,2700
Conceicao Do Araguaia,2003,90.9741019104001,0.5786735714285715,0.86561,0.4013985714285714,0.6886699999999999,1437.957060353557,26.15117182827593,30.05820232909838,17.95270320791262,1312.133695941432,1502707,2611
Dom Eliseu,2003,97.8036444824217,0.447695918367347,0.8613571428571429,0.3277326530612245,0.6725714285714286,1717.118109495268,25.35294959325797,29.6436423682666,16.70160024305186,2622.291067634322,1502939,3300
Floresta Do Araguaia,2003,649.1889216369613,0.602356356487549,0.8716788990825685,0.3991600917431194,0.7169467889908256,1406.715680463115,25.98146282785963,29.80677176769108,17.64345491889947,1281.991487894545,1503044,2000
Paragominas,2003,3244.625352110718,0.4565014344262294,0.8465157786885243,0.3342465749414519,0.7030206967213108,1591.459613759753,25.78016950546941,30.32799309558515,16.7971531279304,3047.864393620901,1505502,2880
Redencao,2003,185.5109246582043,0.5600554112554114,0.8932303030303029,0.40127683982684,0.8059787878787877,1499.836854221788,25.54865021964173,29.50157981164551,17.43493914875505,1312.00843185641,1506138,3000
Santana Do Araguaia,2003,35.63319974365234,0.6884154761904763,0.8085666666666668,0.4801845238095239,0.6627166666666667,1625.920524076022,25.42337575740747,29.56088638747628,17.62089585507183,1982.979243893832,1506708,3000
Santarem,2003,852.3062208920247,0.3922785714285715,0.7801981981981985,0.2829479407979408,0.6271108108108109,1538.979002157103,26.10449628610787,29.31296487881398,17.04833939121217,2058.207714634417,1506807,2700
Ulianopolis,2003,492.4447224636432,0.4326348214285715,0.8573062499999999,0.3183248214285713,0.7284075000000001,1607.00582725025,25.6426541392868,29.94913193053734,16.81190442072819,2302.971775396098,1508126,3279
Monte Alegre,2004,11.34516916503906,0.4582357142857144,0.8236,0.3287214285714286,0.6819000000000001,1547.624536883957,25.24499760426711,29.31276965445573,16.47779581940298,2937.664558125682,1504802,2700
Belterra,2004,732.0367242762437,0.4307021995176085,0.7561584110421888,0.3075784147393501,0.6012864149858278,1833.969991153351,25.90823769547334,28.64803013604355,15.8466437338868,1218.55331805718,1501451,2700
Conceicao Do Araguaia,2004,69.82696307373045,0.514207142857143,0.8033444444444445,0.3310373015873017,0.5560111111111111,1736.632433889658,25.89935539065846,29.8862348986461,17.16594744359799,1231.601875851456,1502707,3000
Dom Eliseu,2004,469.2937990478522,0.4730979437229438,0.8562015151515158,0.3516720779220779,0.7614924242424247,1550.724664618824,25.28231969427112,29.61869888920463,16.81948864884832,2442.401585687865,1502939,3300
Floresta Do Araguaia,2004,653.5311172241194,0.5669721494102228,0.8375009174311931,0.3852458060288336,0.6700357798165141,1639.238689814476,25.73321218021128,29.58915245145897,16.81904223122198,1186.265924850136,1503044,2000
Paragominas,2004,3554.974684008792,0.4808448290126862,0.8586403474903478,0.3553514065085494,0.7485500000000014,1640.875799087996,25.721243899551,30.25216772239471,16.9319007545594,2840.232892369466,1505502,3000
Redencao,2004,185.9541061218271,0.5057459523809525,0.8237633333333334,0.339987142857143,0.6636966666666669,1817.120766950103,25.28452629768765,29.22267694532641,16.56539529004022,1207.116732128172,1506138,3000
